apr 1.6.5-1
apr-util 1.6.1-1
bash 4.4.023-1
bash-completion 2.8-2
bc 1.07.1-1
brotli 1.0.7-1
bsdcpio 3.3.3-3
bsdtar 3.3.3-3
bzip2 1.0.6-2
ca-certificates 20180409-1
coreutils 8.30-1
crypt 1.3-1
cscope 15.9-1
ctags 5.8-2
curl 7.62.0-1
dash 0.5.10.2-1
db 5.3.28-2
diffutils 3.6-1
doxygen 1.8.14-1
expat 2.2.6-1
file 5.35-1
filesystem 2018.08-1
findutils 4.6.0-1
flex 2.6.4-1
gawk 4.2.1-1
gcc-libs 7.3.0-3
gdbm 1.18.1-1
gettext 0.19.8.1-1
git 2.19.1-1
glib2 2.54.3-1
gmp 6.1.2-1
gnupg 2.2.11-1
grep 3.1-1
groff 1.22.3-1
gzip 1.9-1
heimdal 7.5.0-2
heimdal-libs 7.5.0-2
icu 62.1-1
inetutils 1.9.4-1
info 6.5-2
less 530-1
libarchive 3.3.3-3
libasprintf 0.19.8.1-1
libassuan 2.5.1-1
libbz2 1.0.6-2
libcrypt 2.1-2
libcurl 7.62.0-1
libdb 5.3.28-2
libedit 3.1-20170329
libexpat 2.2.6-1
libffi 3.2.1-3
libgcrypt 1.8.4-1
libgdbm 1.18.1-1
libgettextpo 0.19.8.1-1
libgnutls 3.6.3-1
libgpg-error 1.32-1
libgpgme 1.12.0-1
libhogweed 3.4-1
libiconv 1.15-1
libidn2 2.0.5-1
libintl 0.19.8.1-1
libksba 1.3.5-1
liblz4 1.8.3-1
liblzma 5.2.4-1
liblzo2 2.10-2
libmetalink 0.1.3-2
libnettle 3.4-1
libnghttp2 1.34.0-1
libnpth 1.6-1
libopenssl 1.0.2.p-2
libp11-kit 0.23.14-1
libpcre 8.42-1
libpcre16 8.42-1
libpcre2_8 10.32-1
libpcre32 8.42-1
libpcrecpp 8.42-1
libpcreposix 8.42-1
libpipeline 1.5.0-1
libpsl 0.20.2-1
libreadline 7.0.005-1
libsasl 2.1.27rc8-1
libserf 1.3.9-2
libsqlite 3.21.0-4
libssh2 1.8.0-1
libtasn1 4.13-1
libunistring 0.9.10-1
